#   ObjectID        mag_ab_g   mag_ab_r  Mag_abs_r   redshift
588848899897688320    17.87      17.41    -19.80      0.06
587728949584593152    18.09      17.24    -20.09      0.07
588848900973789184    17.88      17.43    -19.90      0.07
588848899365404800    17.72      17.27    -20.01      0.06
587728949049819264    18.37      17.59    -19.92      0.07
588848900978114560    18.05      17.56    -19.73      0.06
588848900978245760    18.16      17.46    -20.07      0.07
588848899369468032    18.03      17.52    -19.95      0.07
588848901517541632    18.37      17.59    -19.79      0.07
588848900453171328    18.25      17.61    -19.83      0.07
587722983895072896    17.94      17.57    -19.99      0.07
587722983358923008    17.79      17.08    -20.27      0.07
588848899921870976    17.73      17.23    -19.71      0.06
587722982291013760    18.05      17.53    -19.27      0.05
587722983902740608    17.57      17.21    -19.62      0.05
588848899929080064    17.85      17.20    -20.07      0.06
587722982293176448    17.85      17.13    -20.46      0.07
588848901002625280    18.09      17.60    -19.38      0.06
587722983367115008    17.79      16.94    -20.00      0.06
588848900466213120    18.03      17.28    -20.25      0.07
587722983908311168    17.99      17.46    -19.60      0.06
588848901007212672    17.67      17.18    -20.36      0.07
588848900470342016    17.99      17.50    -19.27      0.05
587722983371702400    17.42      16.94    -19.87      0.05
587725039559311488    18.00      17.45    -19.85      0.06
587725575886143488    18.13      17.44    -19.37      0.05
587725577497280768    18.10      17.47    -19.91      0.07
587725489987911680    17.89      17.31    -19.47      0.05
587725492136444288    17.88      17.09    -19.74      0.05
587731187263865216    17.97      17.32    -20.07      0.07
587731185654169856    17.99      17.21    -20.03      0.06
587734303802654976    17.95      17.16    -20.08      0.06
587731186191958400    18.21      17.39    -19.61      0.06
587731185119985920    17.91      17.46    -19.62      0.06
587734305953415296    17.89      17.37    -20.16      0.07
587731187268976768    17.56      17.08    -20.10      0.06
587734304880984320    17.52      17.19    -19.87      0.06
588015508189347968    17.70      17.47    -19.44      0.05
587731186200543360    18.30      17.41    -20.09      0.07
587731186738004096    18.08      17.25    -20.06      0.07
588015509803499648    18.35      17.53    -19.81      0.07
587731185127915520    18.16      17.29    -20.31      0.07
587731187812729088    18.09      17.29    -19.86      0.06
587731187279069440    18.19      17.44    -19.86      0.07
587731187279265920    18.03      17.38    -19.88      0.06
587731187279331456    17.59      17.10    -20.13      0.06
587731187279266048    18.27      17.43    -19.81      0.06
588015508735000704    17.83      17.16    -20.10      0.06
588015507660996736    17.95      17.10    -20.14      0.06
587731187280183552    17.93      17.20    -20.35      0.07
588015508199047168    17.94      17.37    -19.74      0.06
587731185135321216    17.80      17.25    -20.16      0.07
588015507663749248    18.16      17.57    -19.81      0.07
588015509814706304    18.11      17.42    -19.68      0.06
587731511533502592    17.77      17.30    -19.71      0.06
588015508743782528    17.88      17.22    -20.36      0.07
588015508207829120    17.79      17.47    -19.65      0.06
588015507670761600    17.85      17.34    -20.13      0.07
587731514220019840    17.56      17.02    -20.02      0.06
588015507672596608    18.22      17.37    -20.13      0.07
587731513149816960    18.24      17.58    -19.72      0.06
588015507674956032    18.12      17.25    -20.18      0.07
587731513687343232    18.46      17.58    -20.00      0.07
587731513153290368    18.34      17.47    -20.07      0.07
587731512617664640    18.21      17.35    -20.02      0.07
587724197202690176    17.96      17.31    -19.68      0.06
587724232639053952    18.02      17.34    -19.63      0.06
587724231564918784    17.25      16.94    -20.16      0.06
587724198281740416    17.89      16.90    -20.66      0.07
587725774530019584    18.31      17.41    -20.13      0.07
588007004961243520    17.83      17.13    -20.00      0.06
587725471203459328    17.87      17.56    -19.59      0.06
587725469055779072    17.73      17.02    -19.76      0.05
587725774534607104    18.05      17.51    -19.38      0.05
587725470667309184    17.96      17.29    -19.58      0.05
